id,google_id,titulo,descripcion,texto
1,sKW7u4786yUC,"Manual de arte rupestre de Cundinamarca","Estudio del arte rupestre en sitios arqueológicos del departamento de Cundinamarca por Álvaro Botiva Contreras.","Manual de arte rupestre de Cundinamarca: estudio del arte rupestre en sitios arqueológicos del departamento por Álvaro Botiva Contreras."
2,ABcD1234EfG,"Enciclopedia histórica de Cundinamarca","Compendio histórico regional editado por Roberto Velandia con enfoque en la sabana y municipios.","Enciclopedia histórica de Cundinamarca: compendio regional por Roberto Velandia que cubre desde la conquista hasta la modernidad."
3,ZXy987UvWx,"Otra historia de Colombia","Narrativa histórica con capítulos clave sobre el territorio de Cundinamarca por Felipe Arias Escobar.","Otra historia de Colombia: narrativa histórica enfocada en Cundinamarca por Felipe Arias Escobar."
4,TUV123QrsT,"Sal y poder en el altiplano de Bogotá","Análisis social e histórico de la minería de sal en el altiplano bogotano por Ana María Groot.","Sal y poder en el altiplano de Bogotá: análisis histórico-social de la minería de sal en Cundinamarca."
5,QwerT567uio,"De los privilegios a la propiedad intelectual","Ensayo sobre legislación literaria del siglo XIX en Colombia con foco en autores de Cundinamarca.","De los privilegios a la propiedad intelectual: ensayo sobre derecho de autor en Cundinamarca."
9,HjKl012MxN,"La ensoñación","Relatos fantásticos ambientados en Cundinamarca por Flor Romero.","La ensoñación: mitos, ritos y leyendas ambientadas en Cundinamarca por Flor Romero."
10,YtRt456MnO,"Olimpo S.O.S.","Novela ambientada en Cundinamarca de Virgilio Olano que mezcla realidad social con ficción.","Olimpo S.O.S.: novela social-urbana ambientada en Cundinamarca por Virgilio Olano."
11,ZxCv890AsD,"Espérame en el cielo, corazón","Cuentos míticos colombianos con leyendas de Cundinamarca por Flor Romero.","Espérame en el cielo, corazón: cuentos míticos ambientados en Cundinamarca por Flor Romero."
12,QwEr123ZaX,"Compendio histórico del descubrimiento","Historia del territorio neogranadino por Joaquín Acosta con énfasis en Cundinamarca.","Compendio histórico del descubrimiento: Joaquín Acosta narra la historia de Cundinamarca."
13,AsDf456GhJ,"El idioma chibcha","Estudio lingüístico sobre los muiscas del altiplano bogotano por Joaquín Acosta.","El idioma chibcha: análisis lingüístico y cultural de los muiscas en Cundinamarca."
14,XMoyAQAAIAAJ,"Recuerdo mi origen","Relato urbano sobre identidad y memoria en Soacha, Cundinamarca.","Recuerdo mi origen: una exploración íntima de la identidad urbana en Soacha, Cundinamarca."
15,nuUNEQAAQBAJ,"girardot mi ciudad","Historias de girardot y su contexto fronterizo con Cundinamarca, por Gustavo A. Quintero","Tunja mi ciudad: historias narradas desde la frontera Boyacá‑Cundinamarca por Germán Villate."
17,AsDf123GhJ,"Cundinamarca: tierra de leyendas","Compilación de leyendas y mitos de Cundinamarca por Flor Romero.","Cundinamarca: tierra de leyendas y mitos recopilados por Flor Romero."
18,VKQXAAAAIAAJ,"Monografía histórica de Girardot"," Me satisface todo cuanto en bien se relacione con este maravilloso « puerto del corazón » . Cada vez que pronuncio una frase o escribo una cuartilla so- bre mi ciudad ","Cuentos de la girardot: relatos sobre la vida cotidiana en Cundinamarca"
20,PlmN012YtR,"Cundinamarca: paisajes y tradiciones","Libro ilustrado sobre la geografía y tradiciones de Cundinamarca por Ana María Groot.","Cundinamarca: paisajes y tradiciones: un recorrido visual por la geografía y cultura del departamento por Ana María Groot."
21,AsDf789GhJ,"Cundinamarca en el siglo XXI","Análisis socioeconómico del departamento en la actualidad por Roberto Velandia.","Cundinamarca en el siglo XXI: análisis socioeconómico y cultural del departamento por Roberto Velandia."
22,_6AjAQAAIAAJ,"Cundinamarca: historia y cultura","Compendio sobre la historia y cultura de Cundinamarca por Felipe Arias Escobar.","Cundinamarca: historia y cultura: un compendio sobre el patrimonio cultural del departamento por Felipe Arias Escobar."
27,gXmiEAAAQBAJ,"Cundinamarca: paisajes y leyendas","Libro ilustrado sobre los paisajes y leyendas de Cundinamarca por Flor Romero.","Cundinamarca: paisajes y leyendas: un recorrido visual por la geografía y mitología del departamento por Flor Romero."
30,hDj--xeiFToC,"Cundinamarca: mitos y leyendas","Compilación de mitos y leyendas de Cundinamarca por Flor Romero.","Cundinamarca: mitos y leyendas: recopilación de historias tradicionales por Flor Romero."
33,pJwxDwAAQBAJ,"Cundinamarca: historia de su música","Estudio sobre la música de Cundinamarca por Carlos Alberto Rodríguez.","Cundinamarca: historia de su música: un recorrido por la evolución musical del departamento por Carlos Alberto Rodríguez."
